ad_id,car_id,seller_id,title,date_post
1,26,11,Dijual Daihatsu Xenia body MPV tahun 2019,2023-06-06
2,37,30,Dijual Honda CR-V body SUV tahun 2017,2023-04-20
3,7,59,Dijual Toyota Agya body Hatchback tahun 2014,2023-04-18
4,23,62,Dijual Daihatsu Terios body SUV tahun 2019,2023-04-10
5,6,32,Dijual Toyota Agya body Hatchback tahun 2019,2022-11-12
6,34,95,Dijual Honda Jazz body Hatchback tahun 2015,2023-08-09
7,3,61,Dijual Toyota Yaris body Hatchback tahun 2014,2022-10-10
8,5,77,Dijual Toyota Yaris body Hatchback tahun 2012,2023-06-21
9,34,61,Dijual Honda Jazz body Hatchback tahun 2015,2023-04-21
10,19,67,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-07-23
11,2,65,Dijual Toyota Yaris body Hatchback tahun 2018,2023-06-23
12,35,72,Dijual Honda Jazz body Hatchback tahun 2013,2023-06-20
13,33,33,Dijual Honda Jazz body Hatchback tahun 2018,2023-04-25
14,30,8,Dijual Daihatsu Xenia body MPV tahun 2018,2022-10-22
15,46,9,Dijual Suzuki Ertiga body MPV tahun 2015,2023-08-09
16,4,63,Dijual Toyota Yaris body Hatchback tahun 2020,2023-03-17
17,10,2,Dijual Toyota Agya body Hatchback tahun 2017,2022-09-13
18,28,2,Dijual Daihatsu Xenia body MPV tahun 2017,2023-05-21
19,4,75,Dijual Toyota Yaris body Hatchback tahun 2020,2022-12-25
20,23,41,Dijual Daihatsu Terios body SUV tahun 2019,2023-07-15
21,41,61,Dijual Honda Civic body Hatchback tahun 2018,2023-06-17
22,2,55,Dijual Toyota Yaris body Hatchback tahun 2018,2023-05-11
23,8,80,Dijual Toyota Agya body Hatchback tahun 2016,2022-12-15
24,9,93,Dijual Toyota Agya body Hatchback tahun 2022,2023-06-15
25,48,52,Dijual Suzuki Ertiga body MPV tahun 2016,2022-12-01
26,22,15,Dijual Daihatsu Terios body SUV tahun 2022,2023-04-04
27,12,91,Dijual Toyota Calya body Wagon tahun 2019,2022-08-27
28,10,91,Dijual Toyota Agya body Hatchback tahun 2017,2023-07-20
29,39,86,Dijual Honda CR-V body SUV tahun 2016,2022-09-12
30,26,33,Dijual Daihatsu Xenia body MPV tahun 2019,2023-08-20
31,44,38,Dijual Honda Civic body Sedan tahun 2013,2023-05-09
32,14,19,Dijual Toyota Calya body Wagon tahun 2016,2022-09-16
33,40,38,Dijual Honda CR-V body SUV tahun 2018,2022-11-17
34,36,3,Dijual Honda CR-V body SUV tahun 2018,2022-12-30
35,32,43,Dijual Honda Jazz body Hatchback tahun 2019,2023-07-12
36,32,41,Dijual Honda Jazz body Hatchback tahun 2019,2023-01-14
37,32,9,Dijual Honda Jazz body Hatchback tahun 2019,2023-06-07
38,39,66,Dijual Honda CR-V body SUV tahun 2016,2022-10-14
39,19,80,Dijual Daihatsu Ayla body Hatchback tahun 2017,2022-10-28
40,9,21,Dijual Toyota Agya body Hatchback tahun 2022,2022-09-04
41,36,48,Dijual Honda CR-V body SUV tahun 2018,2023-01-01
42,42,35,Dijual Honda Civic body Sedan tahun 2010,2023-03-25
43,50,98,Dijual Suzuki Ertiga body MPV tahun 2018,2022-09-16
44,20,18,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-05-19
45,33,92,Dijual Honda Jazz body Hatchback tahun 2018,2023-01-24
46,19,88,Dijual Daihatsu Ayla body Hatchback tahun 2017,2022-10-03
47,40,18,Dijual Honda CR-V body SUV tahun 2018,2022-09-08
